Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.32,Scribner,Hardcover,531,2014,2014,,2023/02/17,"to-read, fiction","to-read (#119), fiction (#200)",to-read,,,,0,0
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",0,3.71,Picador,Paperback,561,1997,1988,,2023/02/17,"to-read, fiction","to-read (#117), fiction (#198)",to-read,,,,0,0
53673,The Devils of Loudun,Aldous Huxley,"Huxley, Aldous",,"=""""","=""""",0,3.87,Vintage Classics,Paperback,400,2005,1952,,2023/02/17,"to-read, fiction","to-read (#118), fiction (#199)",to-read,,,,0,0
58735916,Civilizații,Laurent Binet,"Binet, Laurent",Claudiu Constantinescu,"=""""","=""9786069783962""",0,3.67,Pandora M,Paperback,368,2021,2019,,2023/01/28,"to-read, fiction","to-read (#114), fiction (#197)",to-read,,,,0,0
350540,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307387895""","=""9780307387899""",0,3.99,Vintage International,Paperback,287,2006,2006,,2023/01/01,"to-read, fiction","to-read (#100), fiction (#190)",to-read,,,,0,0
771701,Pinocchio,Carlo Collodi,"Collodi, Carlo",Robert Ingpen,"=""1933327006""","=""9781933327006""",0,3.85,Purple Bear Books,Hardcover,136,2005,1883,,2023/01/04,"to-read, fiction","to-read (#104), fiction (#194)",to-read,,,,0,0
867072,Till We Have Faces,C.S. Lewis,"Lewis, C.S.",,"=""0802860192""","=""9780802860194""",0,4.18,Eerdmans Pub Co,Paperback,313,1974,1956,,2023/01/10,"to-read, fiction","to-read (#105), fiction (#195)",to-read,,,,0,0
8621462,A Monster Calls,Patrick Ness,"Ness, Patrick","Jim Kay, Siobhan Dowd","=""1406311529""","=""9781406311525""",0,4.35,Walker Books,Hardcover,226,2011,2011,,2023/01/04,"to-read, fiction","to-read (#102), fiction (#192)",to-read,,,,0,0
53205888,Under the Whispering Door,T.J. Klune,"Klune, T.J.",,"=""1250217342""","=""9781250217349""",0,4.16,Tor Books,Hardcover,384,2021,2021,,2023/01/04,"to-read, fiction","to-read (#103), fiction (#193)",to-read,,,,0,0
8737,The Last Temptation of Christ,Nikos Kazantzakis,"Kazantzakis, Nikos",Peter A. Bien,"=""068485256X""","=""9780684852560""",0,4.17,Simon & Schuster,Paperback,506,1998,1955,,2023/01/03,"to-read, fiction","to-read (#101), fiction (#191)",to-read,,,,0,0
15994514,A Christmas Carol,Charles Dickens,"Dickens, Charles",,"=""0141389478""","=""9780141389479""",0,4.08,Penguin Books,Paperback,94,2012,1843,,2022/12/28,"to-read, fiction","to-read (#99), fiction (#189)",to-read,,,,0,0
58210933,Trust,Hernan Diaz,"Diaz, Hernan",,"=""0593420314""","=""9780593420317""",0,3.85,Riverhead Books,Hardcover,402,2022,2022,,2022/12/11,"to-read, fiction","to-read (#94), fiction (#184)",to-read,,,,0,0
16153575,Letters from Father Christmas,J.R.R. Tolkien,"Tolkien, J.R.R.",Baillie Tolkien,"=""0007463375""","=""9780007463374""",0,4.28,HarperCollins,Hardcover,192,2012,1976,,2022/12/25,"to-read, fiction","to-read (#98), fiction (#188)",to-read,,,,0,0
62691461,Deposedații,Ursula K. Le Guin,"Guin, Ursula K. Le",Emil Sîrbulescu,"=""""","=""9786064313225""",0,4.24,Nemira,Paperback,384,2022,1974,,2022/12/11,"to-read, fiction","to-read (#96), fiction (#186)",to-read,,,,0,0
43708884,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,"=""1529105102""","=""9781529105100""",0,4.56,Ebury Press,Hardcover,128,2019,2019,,2022/12/20,"to-read, 2023-tbr, fiction","to-read (#97), 2023-tbr (#7), fiction (#187)",to-read,,,,0,0
